cluster,lag_s,sum_player,sum_centroid,sum_relative,sum_cross,n_pairs
2020-07-11__1H__rosenborg__A,14.0,8380022.097320864,6238822.275884165,2139582.5069020335,1617.314534664154,28680
2020-07-11__1H__rosenborg__A,15.0,8972270.488217864,6717355.187899744,2252806.7806376964,2108.5196804214793,28669
2020-07-11__1H__rosenborg__A,16.0,9539545.651860712,7178574.279863814,2358337.180701958,2634.191294941498,28658
2020-07-11__1H__rosenborg__A,17.0,10082253.405921264,7622433.315256928,2456800.563397382,3019.5272669545375,28647
2020-07-11__1H__rosenborg__A,18.0,10601796.779193666,8049428.36228075,2549231.8481193916,3136.5687935228343,28636
2020-07-11__1H__rosenborg__A,19.0,11100373.126061799,8460231.194822127,2637117.8058464825,3024.125393189548,28625
2020-07-11__1H__rosenborg__A,20.0,11579961.737429045,8855395.16263106,2721783.275494854,2783.299303125008,28614
2020-07-11__1H__rosenborg__A,21.0,12041730.482054697,9235225.615311703,2804014.726341013,2490.1404019769107,28603
2020-07-11__1H__rosenborg__A,22.0,12486055.174307412,9600070.068019696,2883875.4621665264,2109.64412118998,28592
2020-07-11__1H__rosenborg__A,23.0,12913433.675679822,9950565.799049377,2961261.542488803,1606.3341416442127,28581
2020-07-11__1H__rosenborg__A,24.0,13325336.189002784,10287848.225064814,3036507.0908110924,980.8731268768897,28570
2020-07-11__1H__rosenborg__A,25.0,13723325.6573453,10613089.3321491,3110018.204404154,218.12079204598558,28559
2020-07-11__1H__rosenborg__A,26.0,14108707.779200237,10927355.848239576,3182066.6341797384,-714.7032190781902,28548
2020-07-11__1H__rosenborg__A,27.0,14482232.645485735,11231226.002388256,3252721.181177738,-1714.5380802595173,28537
2020-07-11__1H__rosenborg__A,28.0,14844375.24210481,11525155.791414235,3321837.899708975,-2618.4490184015012,28526
2020-07-11__1H__rosenborg__A,29.0,15195361.702550257,11809656.637059411,3389115.3198525165,-3410.2543616693,28515
2020-07-11__1H__rosenborg__A,30.0,15535039.699573044,12085154.93874218,3454083.1069733594,-4198.346142496157,28504
2020-07-11__1H__rosenborg__A,31.0,15863740.843739675,12352122.856910542,3516539.615585245,-4921.628756111837,28493
