track_type,k,tau_s,weighted_msd,n_pairs,n_entities,msd_m2
centroid,61,61.0,61920040.21263,87832,34,704.9826966553193
centroid,62,62.0,62210746.605527416,87797,34,708.5748556958372
centroid,63,63.0,62487534.987430304,87762,34,712.0112917598767
centroid,64,64.0,62750643.72789019,87727,34,715.2945356377193
centroid,65,65.0,63000806.52362582,87692,34,718.4327706475599
centroid,66,66.0,63238641.22442936,87657,34,721.4328715838936
centroid,67,67.0,63465028.68854638,87622,34,724.304725851343
centroid,68,68.0,63680903.650263794,87587,34,727.0588517732517
centroid,69,69.0,63887556.84634064,87552,34,729.7098506754916
centroid,70,70.0,64086641.31679684,87517,34,732.2764870459092
centroid,71,71.0,64279784.43301935,87482,34,734.7772619855439
centroid,72,72.0,64468445.79401066,87447,34,737.2287876543583
centroid,73,73.0,64653544.65937952,87412,34,739.6415212943248
centroid,74,74.0,64835720.713808246,87377,34,742.0227372627608
centroid,75,75.0,65015231.97293847,87342,34,744.3753517544649
centroid,76,76.0,65192340.48309325,87307,34,746.7023318072233
centroid,77,77.0,65366867.16971525,87272,34,749.0015946662761
centroid,78,78.0,65538583.83069916,87237,34,751.2704910840488
centroid,79,79.0,65706833.43669796,87202,34,753.5014499288773
centroid,80,80.0,65871547.973513275,87167,34,755.6936452271304
centroid,81,81.0,66031869.22337619,87132,34,757.8371806382982
centroid,82,82.0,66187494.44556715,87097,34,759.9285215973817
centroid,83,83.0,66338083.09751504,87062,34,761.9636936610121
centroid,84,84.0,66483885.541353986,87027,34,763.9455058930445
centroid,85,85.0,66625038.768370174,86992,34,765.8754686450499
centroid,86,86.0,66761929.10330433,86957,34,767.7579620192087
centroid,87,87.0,66894440.90495317,86922,34,769.5915982714752
centroid,88,88.0,67022677.56057149,86887,34,771.3775082644296
centroid,89,89.0,67146824.28414562,86852,34,773.1177668233964
centroid,90,90.0,67266818.4891335,86817,34,774.8115978337596
centroid,91,91.0,67382287.70137618,86782,34,776.4546530545065
centroid,92,92.0,67492606.54531331,86747,34,778.0396618362977
centroid,93,93.0,67598104.5597046,86712,34,779.5703542728181
centroid,94,94.0,67698836.1477379,86677,34,781.0472922198265
centroid,95,95.0,67794744.30174962,86642,34,782.4697525651487
centroid,96,96.0,67885651.88356157,86607,34,783.8356239514308
centroid,97,97.0,67971987.18462886,86573,34,785.1407157500474
centroid,98,98.0,68052754.67109594,86539,34,786.3824942638109
centroid,99,99.0,68127851.13468938,86505,34,787.559691748331
centroid,100,100.0,68197233.43947114,86471,34,788.671733176107
centroid,101,101.0,68261437.13335155,86437,34,789.7247374776027
centroid,102,102.0,68321332.38829468,86403,34,790.7287060437101
centroid,103,103.0,68377589.77072988,86369,34,791.69134493545
centroid,104,104.0,68431121.97025469,86335,34,792.6231768142085
centroid,105,105.0,68482264.94050463,86301,34,793.5280580816517
centroid,106,106.0,68531443.58318768,86267,34,794.4108822978391
centroid,107,107.0,68579062.26579216,86233,34,795.276312615729
centroid,108,108.0,68625155.8460664,86199,34,796.1247328398983
centroid,109,109.0,68669579.01877753,86165,34,796.9544364739457
centroid,110,110.0,68711758.78490663,86131,34,797.7587487072788
centroid,111,111.0,68751330.27475196,86097,34,798.5334015674409
centroid,112,112.0,68787647.62961376,86063,34,799.270855415379
centroid,113,113.0,68820660.51125704,86029,34,799.9704810152047
centroid,114,114.0,68850904.48276876,85995,34,800.6384613380866
centroid,115,115.0,68878909.94139488,85961,34,801.2809290421806
centroid,116,116.0,68905271.95210525,85927,34,801.9047790811416
centroid,117,117.0,68931295.73671106,85893,34,802.5251852503819
centroid,118,118.0,68958556.8055163,85859,34,803.1604934312804
centroid,119,119.0,68987625.97645564,85825,34,803.8173722861129
centroid,120,120.0,69019472.40647009,85791,34,804.507144181442
player_abs,1,1.000021516371517,4337643.152544406,1012432,485,4.284379743572315
player_abs,2,2.000042100724481,16107028.937374782,1011893,485,15.917719499368788
player_abs,3,3.0000571200181545,33473327.84812128,1011354,485,33.09753839715993
player_abs,4,4.000072266525328,54800711.082534365,1010815,485,54.21438253541386
player_abs,5,5.000076866058656,78803495.9949545,1010276,485,78.00194797753733
player_abs,6,6.000081483695654,104506031.01240052,1009737,485,103.49826837325018
player_abs,7,7.000086119573601,131180767.68460271,1009198,485,129.98516414479886
player_abs,8,8.000090773831522,158291647.07620242,1008659,485,156.93276625321582
player_abs,9,9.000095446610219,185456447.281681,1008120,485,183.96267039804886
player_abs,10,10.000100138052309,212407907.0601836,1007581,485,210.8097582826429
player_abs,11,11.00010484830227,238961255.28639892,1007042,485,237.29025729453082
player_abs,12,12.000109577506462,264997985.16788262,1006503,485,263.28583736748186
