track_type,k,tau_s,msd_m2,ci_low,ci_high,n_bootstrap,bootstrap_unit
player_abs,77,77.00020816825372,966.5554907945624,925.9980301332481,1013.1446006439279,200,match_id+match_phase+team+source_key
player_abs,78,78.00020943437225,969.4176545519953,928.427932993268,1016.8956570939606,200,match_id+match_phase+team+source_key
player_abs,79,79.00021070551355,972.2398292304107,930.8809734235067,1020.1379355351602,200,match_id+match_phase+team+source_key
player_abs,80,80.00021198175995,975.0213574097943,933.365206565046,1023.6431535939497,200,match_id+match_phase+team+source_key
player_abs,81,81.00021370565075,977.7565523126727,935.8481918302145,1027.2299003381077,200,match_id+match_phase+team+source_key
player_abs,82,82.00021499503279,980.4371587418545,938.3205186723563,1030.727963450401,200,match_id+match_phase+team+source_key
player_abs,83,83.0002162897916,983.0596691367292,940.7798295388311,1034.1293743494714,200,match_id+match_phase+team+source_key
player_abs,84,84.00021759001895,985.624674526798,942.9688596682787,1037.4300861493841,200,match_id+match_phase+team+source_key
player_abs,85,85.00021889580913,988.1294099815067,945.5854011774308,1040.6167181723897,200,match_id+match_phase+team+source_key
player_abs,86,86.00022020725908,990.5850691890253,948.1077306882818,1043.6975349685488,200,match_id+match_phase+team+source_key
player_abs,87,87.00022152446839,992.985548566844,950.5641294463288,1046.660483164246,200,match_id+match_phase+team+source_key
player_abs,88,88.00022284753949,995.3320430021806,953.027699210879,1049.5044860888324,200,match_id+match_phase+team+source_key
player_abs,89,89.00022417657769,997.621269084077,955.41330194353,1052.2702402499808,200,match_id+match_phase+team+source_key
player_abs,90,90.00022551169134,999.8523189874738,956.3220993774171,1054.860751744933,200,match_id+match_phase+team+source_key
player_abs,91,91.00022685299184,1002.0243419528855,957.202662664735,1057.353422096549,200,match_id+match_phase+team+source_key
player_abs,92,92.0002282005939,1004.1383231720164,958.060200996398,1059.7398889235994,200,match_id+match_phase+team+source_key
player_abs,93,93.00022955461556,1006.1964628254789,958.8923263153108,1061.968170976585,200,match_id+match_phase+team+source_key
player_abs,94,94.0002309151783,1008.1991019086794,959.6916968294806,1063.971347223333,200,match_id+match_phase+team+source_key
player_abs,95,95.0002322824073,1010.1454622233936,960.8611552655055,1065.9295990017074,200,match_id+match_phase+team+source_key
player_abs,96,96.00023365643142,1012.0392421423096,962.1900227254666,1067.8533324762582,200,match_id+match_phase+team+source_key
player_abs,97,97.00023503738343,1013.8790096236617,963.8231313907826,1070.1209586090392,200,match_id+match_phase+team+source_key
player_abs,98,98.00023642540019,1015.6669394917765,965.7640016941477,1071.979234980653,200,match_id+match_phase+team+source_key
player_abs,99,99.0002378206227,1017.4032015042919,967.6917497254741,1073.6954371026561,200,match_id+match_phase+team+source_key
player_abs,100,100.0002392231964,1019.0961896832579,969.6048780295546,1075.3243824631234,200,match_id+match_phase+team+source_key
player_abs,101,101.00024063327125,1020.7541044806078,971.5063089358739,1077.15123795584,200,match_id+match_phase+team+source_key
player_abs,102,102.00024205100192,1022.3799270493444,973.3067655894573,1078.9597128712344,200,match_id+match_phase+team+source_key
player_abs,103,103.00024347654802,1023.9815336966404,974.0461978415074,1080.7510851825182,200,match_id+match_phase+team+source_key
player_abs,104,104.00024491007429,1025.5618039490778,974.7884785056962,1082.5186410091173,200,match_id+match_phase+team+source_key
player_abs,105,105.00024635175082,1027.1116723710688,975.5374933232679,1084.2656664179467,200,match_id+match_phase+team+source_key
player_abs,106,106.00024621922931,1028.6567690596805,976.6876357217336,1086.0038974522572,200,match_id+match_phase+team+source_key
player_abs,107,107.00024609037928,1030.1956783164421,978.7233046155853,1087.729825428016,200,match_id+match_phase+team+source_key
player_abs,108,108.0002459653659,1031.7279035640604,980.7981033614857,1089.4336354956731,200,match_id+match_phase+team+source_key
player_abs,109,109.00024584436062,1033.2551620195873,982.8910454448176,1091.1144663177822,200,match_id+match_phase+team+source_key
player_abs,110,110.00024623840932,1034.7311301864302,984.9307102320847,1092.7134417938184,200,match_id+match_phase+team+source_key
player_abs,111,111.00024612572658,1036.1796334478477,986.8098904902082,1094.2642028861974,200,match_id+match_phase+team+source_key
player_abs,112,112.00024601761525,1037.592661910893,988.0309679975834,1096.1664691991252,200,match_id+match_phase+team+source_key
player_abs,113,113.00024591427463,1038.963479634607,989.272323516189,1097.9957522078496,200,match_id+match_phase+team+source_key
player_abs,114,114.0002458159116,1040.2937692056428,990.5378346362328,1099.462115216519,200,match_id+match_phase+team+source_key
player_abs,115,115.0002457227411,1041.5918313950215,991.8200432695858,1100.6210364076207,200,match_id+match_phase+team+source_key
player_abs,116,116.00024563498644,1042.8691436975093,993.117380100825,1101.737155222452,200,match_id+match_phase+team+source_key
player_abs,117,117.00024555287972,1044.1430565457586,994.4312999337322,1102.8390519009024,200,match_id+match_phase+team+source_key
player_abs,118,118.00024650161694,1045.4263801583388,995.7668174943823,1103.9517751997041,200,match_id+match_phase+team+source_key
player_abs,119,119.0002464312469,1046.7305088251494,997.5378437709584,1105.227819500532,200,match_id+match_phase+team+source_key
player_abs,120,120.0002463673046,1048.0613684119583,999.4997204282915,1106.645864962492,200,match_id+match_phase+team+source_key
player_rel,1,1.0005053834765565,1.8877086397315952,1.759832947582979,2.0348417195117263,200,match_id+match_phase+team+source_key
player_rel,2,2.0010149958391383,6.57029304785855,6.2362642888315465,6.955717845529882,200,match_id+match_phase+team+source_key
player_rel,3,3.001524288013105,12.985143922594336,12.335172268324488,13.776906992696878,200,match_id+match_phase+team+source_key
player_rel,4,4.002039056598496,20.342343876307485,19.29623625545277,21.549464167493145,200,match_id+match_phase+team+source_key
player_rel,5,5.002548725113099,28.13482330647291,26.591533642071568,29.793119761667622,200,match_id+match_phase+team+source_key
player_rel,6,6.003063958806032,36.052254447430684,33.940069971668954,38.26972467789154,200,match_id+match_phase+team+source_key
player_rel,7,7.003584860531746,43.91254618071709,41.18509447637216,46.73056342569178,200,match_id+match_phase+team+source_key
player_rel,8,8.004111535774218,51.60701068340095,48.285858896383246,55.05695345516609,200,match_id+match_phase+team+source_key
player_rel,9,9.004644092732393,59.070587924368674,55.146643786897705,63.166382725834424,200,match_id+match_phase+team+source_key
player_rel,10,10.005182642409011,66.27266052643473,61.7478151996922,71.02520762885241,200,match_id+match_phase+team+source_key
player_rel,11,11.005727298702938,73.19617808943019,68.0829026944394,78.60994697878064,200,match_id+match_phase+team+source_key
player_rel,12,12.006278178505193,79.83853870301172,74.15234301051177,85.95346954445544,200,match_id+match_phase+team+source_key
player_rel,13,13.00683540179884,86.20529198237568,79.96196552010606,93.01528212449072,200,match_id+match_phase+team+source_key
player_rel,14,14.007399091762911,92.3087718071874,85.52375380042314,99.79445510236975,200,match_id+match_phase+team+source_key
player_rel,15,15.007969374880576,98.16223752631016,90.85133023507596,106.30056470840317,200,match_id+match_phase+team+source_key
player_rel,16,16.008546381051737,103.77598895886003,95.95107339899164,112.54241117292652,200,match_id+match_phase+team+source_key
