age_start_s,age_mid_s,n_at_risk,n_terminated,termination_probability,n_clusters,ci_low,ci_high,variant,quantity,duration_s,ccdf
,,,,,,,,low_speed_guard_0p25,ccdf,22.0,0.0828879255923572
,,,,,,,,low_speed_guard_0p25,ccdf,23.0,0.0770169605656327
,,,,,,,,low_speed_guard_0p25,ccdf,24.0,0.0716299819031185
,,,,,,,,low_speed_guard_0p25,ccdf,25.0,0.0667690753756155
,,,,,,,,low_speed_guard_0p25,ccdf,26.0,0.0622027692437186
,,,,,,,,low_speed_guard_0p25,ccdf,27.0,0.0578468919658263
,,,,,,,,low_speed_guard_0p25,ccdf,28.0,0.0538066579689407
,,,,,,,,low_speed_guard_0p25,ccdf,29.0,0.0501872816800639
,,,,,,,,low_speed_guard_0p25,ccdf,30.0,0.0469466773283952
,,,,,,,,low_speed_guard_0p25,ccdf,31.0,0.0438533731745296
,,,,,,,,low_speed_guard_0p25,ccdf,32.0,0.0411598838432725
,,,,,,,,low_speed_guard_0p25,ccdf,33.0,0.0384663945120154
,,,,,,,,low_speed_guard_0p25,ccdf,34.0,0.0357518622953579
,,,,,,,,low_speed_guard_0p25,ccdf,35.0,0.0329531585370986
,,,,,,,,low_speed_guard_0p25,ccdf,36.0,0.030617398257649
,,,,,,,,low_speed_guard_0p25,ccdf,37.0,0.0285341526030049
,,,,,,,,low_speed_guard_0p25,ccdf,38.0,0.0265561213753629
,,,,,,,,low_speed_guard_0p25,ccdf,39.0,0.0247885190017255
,,,,,,,,low_speed_guard_0p25,ccdf,40.0,0.023020916628088
,,,,,,,,low_speed_guard_0p25,ccdf,41.0,0.0215689575354572
,,,,,,,,low_speed_guard_0p25,ccdf,42.0,0.0201169984428264
,,,,,,,,low_speed_guard_0p25,ccdf,43.0,0.0188754682042001
,,,,,,,,low_speed_guard_0p25,ccdf,44.0,0.0175918521947729
,,,,,,,,low_speed_guard_0p25,ccdf,45.0,0.016371364841547
,,,,,,,,low_speed_guard_0p25,ccdf,46.0,0.015613820967131
,,,,,,,,low_speed_guard_0p25,ccdf,47.0,0.0146668911241109
,,,,,,,,low_speed_guard_0p25,ccdf,48.0,0.0136989183956904
,,,,,,,,low_speed_guard_0p25,ccdf,49.0,0.0128572029796725
,,,,,,,,low_speed_guard_0p25,ccdf,50.0,0.0120575733344556
,,,,,,,,low_speed_guard_0p25,ccdf,51.0,0.0114052438870417
,,,,,,,,low_speed_guard_0p25,ccdf,52.0,0.0106056142418248
,,,,,,,,low_speed_guard_0p25,ccdf,53.0,0.0098901561382096
,,,,,,,,low_speed_guard_0p25,ccdf,54.0,0.0089221834097891
,,,,,,,,low_speed_guard_0p25,ccdf,55.0,0.0081015108791717
