duration,empirical_survival,age_only_survival,age_order_survival,age_order_boundary_reference_survival,hard_late_survival,smooth_late_survival
72.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
73.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
74.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
75.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
76.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
77.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
78.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
79.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
80.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
81.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
82.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
83.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
84.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
85.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
86.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
87.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
88.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
89.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
90.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
