heldout_physical_match_id,state_definition,hazard_model,log_likelihood_train,n_fit_intervals,n_fit_deaths,optimizer_success,optimizer_message,mu,a0,phi_low,phi_mid,phi_high,q,tc,tau_q
2020__2020-12-06,S0_raw,full,-158721.28449491365,342036,67143,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.9248641739339905,4.798899885387998,1.3038303963264015,1.0,0.6689014192517053,0.1027268030081978,20.0,4.999999999999999
2021__2021-05-22,S0_raw,age_only,-161063.73954732352,342093,67308,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3300394979433454,2.533039979425241,1.0,1.0,1.0,0.0,25.0,5.0
2021__2021-05-22,S0_raw,age_order,-159319.80070413262,342093,67308,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.91493966116348,4.76015755137857,1.3088294802100104,1.0,0.6694949896684117,0.0,25.0,5.0
2021__2021-05-22,S0_raw,full,-158847.60212560042,342093,67308,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.91493966116348,4.76015755137857,1.3088294802100104,1.0,0.6694949896684117,0.1048324586416905,20.0,4.999999999999999
2021__2021-05-29,S0_raw,age_only,-160996.85752908632,342186,67182,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.335624630103481,2.561513953310874,1.0,1.0,1.0,0.0,25.0,5.0
2021__2021-05-29,S0_raw,age_order,-159266.1647219101,342186,67182,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.921807919367149,4.797798661302279,1.3068061220728358,1.0,0.6703657500850038,0.0,25.0,5.0
2021__2021-05-29,S0_raw,full,-158804.86855524374,342186,67182,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.921807919367149,4.797798661302279,1.3068061220728358,1.0,0.6703657500850038,0.103575577278932,20.0,4.999999999999999
2021__2021-06-05,S0_raw,age_only,-161145.4943970306,342260,67295,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3367098975672231,2.560557912044876,1.0,1.0,1.0,0.0,25.0,5.0
2021__2021-06-05,S0_raw,age_order,-159414.23326460458,342260,67295,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.925511438606171,4.792535873286638,1.303955603714262,1.0,0.668749629091583,0.0,25.0,5.0
2021__2021-06-05,S0_raw,full,-158959.96957540483,342260,67295,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.925511438606171,4.792535873286638,1.303955603714262,1.0,0.668749629091583,0.102628951589076,20.0,4.999999999999999
