panel,value_col,early_order_state,threshold,survival,n_surviving_at_threshold,n_runs,ci_low_95,ci_high_95,ci_type,bootstrap_B,bootstrap_n_clusters,bootstrap_cluster_cols
B. Length survivor by order state,run_length_m,Mid,35.89629985649989,0.02444924406047516,566,23150,0.022309041318499968,0.02657540612838728,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,37.48249530452261,0.021382289416846653,495,23150,0.019386157389506078,0.023335991292648885,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,39.06869075254533,0.018099352051835854,419,23150,0.016416138695584958,0.019706392403746872,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,40.65488620056805,0.015334773218142549,355,23150,0.0136671244868619,0.017095248774819074,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,42.24108164859077,0.012699784017278618,294,23150,0.011142301410116458,0.01420230176633767,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,43.82727709661349,0.01079913606911447,250,23150,0.009399368279469963,0.01227079286900038,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,45.41347254463622,0.009114470842332613,211,23150,0.007731465253729047,0.010375971626970909,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,46.99966799265894,0.007473002159827214,173,23150,0.006261749571925663,0.008778446620962652,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,48.58586344068166,0.006220302375809935,144,23150,0.005009586013362592,0.0075079539018108295,cluster_bootstrap_95,500,66,"season,match_id,team"
B. Length survivor by order state,run_length_m,Mid,50.172058888704385,0.005097192224622031,118,23150,0.004088834342120431,0.006222951509154218,cluster_bootstrap_95,500,66,"season,match_id,team"
